,title,country,date_added,release_year,rating,listed_in,description,target
58,Accidentally in Love,China,"October 19, 2018",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",False
59,Ad Vitam,France,"November 1, 2019",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",False
60,Adam Ruins Everything,United States,"September 30, 2018",2018,TV-14,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",False
61,Afflicted,United States,"August 10, 2018",2018,TV-MA,"Docuseries, Reality TV, Science & Nature TV",Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.,False
62,Africa,United Kingdom,"April 28, 2016",2013,TV-PG,"British TV Shows, Docuseries, International TV Shows","This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.",False
63,Afronta! Facing It!,Brazil,"October 31, 2020",2017,TV-PG,"Docuseries, International TV Shows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",False
64,After Life,United Kingdom,"April 24, 2020",2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",True
65,Against the Tide,Singapore,"July 1, 2017",2014,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.,False
66,Age Gap Love,United Kingdom,"July 12, 2019",2017,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",False
68,Age of Rebellion,Taiwan,"September 1, 2018",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",False
69,Age of Tanks,"Germany, France, Russia","November 10, 2018",2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.,False
70,Agent,"Mauritius, South Africa","December 20, 2019",2019,TV-MA,"International TV Shows, TV Dramas","A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything.",False
71,Agent Raghav,India,"April 15, 2017",2015,TV-14,"Crime TV Shows, International TV Shows, TV Action & Adventure","A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.",False
72,Aggretsuko,Japan,"August 27, 2020",2020,TV-14,"Anime Series, International TV Shows","Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.",True
73,Ainori Love Wagon: African Journey,Japan,"January 30, 2020",2019,TV-14,"International TV Shows, Reality TV, Romantic TV Shows","To find love, seven strangers leave Japan and embark on a journey through the continent of Africa together. Challenges, adventure and romance await!",False
74,Ainori Love Wagon: Asian Journey,Japan,"March 28, 2019",2018,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",True
75,Ainsley Eats the Streets,United Kingdom,"July 12, 2019",2014,TV-PG,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.,False
76,AJ and the Queen,United States,"January 10, 2020",2020,TV-14,"TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",False
78,AJIN: Demi-Human,Japan,"December 27, 2016",2016,TV-MA,"Anime Series, International TV Shows",A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.,True
79,Akame ga Kill!,Japan,"March 1, 2020",2014,TV-14,"Anime Series, Crime TV Shows, International TV Shows","Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government.",False
80,Akbar Birbal,India,"March 31, 2020",2019,TV-G,"Kids' TV, TV Comedies, TV Dramas","From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India.",False
82,Al Hayba,Lebanon,"September 15, 2018",2017,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",False
83,Alexa & Katie,United States,"June 13, 2020",2020,TV-G,"Kids' TV, TV Comedies","Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.",True
84,Alias Grace,Canada,"November 3, 2017",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel.",False
85,Alice in Borderland,Japan,"December 10, 2020",2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Mysteries","An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",False
87,Alien Worlds,United Kingdom,"December 2, 2020",2020,TV-PG,"British TV Shows, Docuseries, International TV Shows","Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets.",False
88,All About the Washingtons,United States,"August 10, 2018",2018,TV-PG,TV Comedies,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.",False
89,All American,United States,"March 17, 2020",2019,TV-14,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,True
90,All For Love,Colombia,"June 26, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",False
91,All Hail King Julien,United States,"December 1, 2017",2017,TV-Y7,"Kids' TV, TV Comedies","In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures.",True
93,Almost Happy,Argentina,"May 2, 2020",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",False
95,Alphablocks,United Kingdom,"May 25, 2020",2014,TV-Y,Kids' TV,"The letters of the alphabet come to life in Alphaland as they read, write and spell their way into an exciting world of phonic fun.",True
96,Altered Carbon,United States,"February 27, 2020",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",True
97,Always a Witch,Colombia,"February 28, 2020",2019,TV-14,"International TV Shows, Spanish-Language TV Shows, TV Comedies","A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival.",True
98,Amazing Interiors,United Kingdom,"July 20, 2018",2018,TV-PG,"British TV Shows, International TV Shows, Reality TV","Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium.",False
99,America's Book of Secrets,United States,"September 15, 2019",2014,TV-14,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",False
100,America's Next Top Model,United States,"November 15, 2020",2013,TV-14,Reality TV,Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.,True
101,American Crime,United States,"May 30, 2017",2017,TV-MA,"Crime TV Shows, TV Dramas","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",True
102,American Crime Story: The People v. O.J. Simpson,United States,"March 6, 2019",2016,TV-MA,"Crime TV Shows, TV Dramas","This anthology series dramatizes historic criminal cases in the U.S., including the O.J. Simpson trial and Andrew Cunanan's 1997 murder spree.",False
103,American Experience: The Circus,United States,"May 2, 2019",2018,TV-PG,Docuseries,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed.",False
104,American Horror Story,United States,"November 13, 2020",2019,TV-MA,"TV Horror, TV Mysteries, TV Thrillers","This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil.",True
105,American Odyssey,United States,"April 5, 2016",2015,TV-14,"TV Dramas, TV Thrillers","An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.",False
106,American Vandal,United States,"September 14, 2018",2018,TV-MA,"Crime TV Shows, TV Comedies, Teen TV Shows","A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.",True
107,AMO,Philippines,"April 9, 2018",2017,TV-MA,"International TV Shows, TV Dramas","Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.",False
108,An Innocent Mistake,Taiwan,"January 1, 2017",2012,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart.",False
109,Ancient Aliens,United States,"September 17, 2019",2018,TV-14,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",False
110,Angel 'N' Devil,Taiwan,"April 30, 2019",2014,TV-14,"International TV Shows, TV Action & Adventure, TV Comedies","In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons.",False
111,Angel Beats!,Japan,"July 15, 2019",2010,TV-PG,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.",False
112,Angry Birds,Finland,"March 16, 2019",2018,TV-Y7,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",True
113,Anitta: Made In Honório,Brazil,"December 16, 2020",2020,TV-MA,"Docuseries, International TV Shows","In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",False
114,Anjaan: Rural Myths,India,"December 15, 2018",2018,TV-14,"International TV Shows, TV Horror, TV Thrillers","Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India.",False
115,Anjaan: Special Crimes Unit,India,"May 1, 2018",2018,TV-14,"International TV Shows, TV Horror, TV Mysteries","The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.",False
116,Anne with an E,Canada,"January 3, 2020",2019,TV-PG,"International TV Shows, TV Dramas, Teen TV Shows","A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",True
117,Anohana: The Flower We Saw That Day,Japan,"July 15, 2019",2011,TV-14,"Anime Series, International TV Shows, Teen TV Shows",A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.,False
118,Another Life,United States,"July 25, 2019",2019,TV-MA,"TV Action & Adventure, TV Dramas, TV Mysteries","After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",False
119,Another Miss Oh,South Korea,"October 16, 2019",2016,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",False
122,忍者ハットリくん,Japan," December 23, 2018",2012,TV-Y7,"Anime Series, Kids' TV","Hailing from the mountains of Iga, Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja.",True
123,Apache: The Life of Carlos Tevez,Argentina,"August 16, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.,False
124,Apaches,Spain,"September 8, 2017",2016,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,False
125,Aquarius,United States,"June 16, 2017",2016,TV-MA,"Crime TV Shows, TV Dramas","Amid the turmoil of 1960s LA, two cops and a prominent political family are drawn into the sex- and drug-fueled web of a young Charles Manson.",True
126,ARASHI's Diary -Voyage-,Japan,"December 31, 2019",2019,TV-PG,"Docuseries, International TV Shows","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",False
128,Are You The One,United States,"December 1, 2020",2014,TV-14,Reality TV,"Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize.",True
129,Ares,Netherlands,"January 17, 2020",2020,TV-MA,"International TV Shows, TV Dramas, TV Horror","Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.",False
130,Argon,South Korea,"November 22, 2017",2017,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas","In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light.",False
131,Ari Shaffir: Double Negative,United States,"July 18, 2017",2017,TV-MA,Stand-Up Comedy & Talk Shows,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood.",False
132,Arrested Development,United States,"May 29, 2018",2019,TV-MA,TV Comedies,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",True
133,Arrow,United States,"February 5, 2020",2019,TV-14,"Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.",True
134,Arthdal Chronicles,South Korea,"June 2, 2019",2019,TV-MA,"International TV Shows, Korean TV Shows, TV Action & Adventure","In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society.",False
135,Ash vs. Evil Dead,United States,"April 29, 2019",2018,TV-MA,"TV Action & Adventure, TV Comedies, TV Horror","Thirty years later, Ash Williams – demon hunter par excellence – is back to battle a new Deadite plague. He may have lost a hand, but not his touch.",True
136,Ashes of Love,China,"December 16, 2018",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them.",False
137,Ask the Doctor,Australia,"October 19, 2018",2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","From allergies to diet to sleep, three friendly doctors share expert advice, bust medical myths and test the latest treatments.",False
138,Ask the StoryBots,United States,"August 2, 2019",2019,TV-Y,Kids' TV,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.",True
139,Astronomy Club: The Sketch Show,United States,"December 6, 2019",2019,TV-MA,TV Comedies,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor.",False
140,At the Dolphin Bay,Taiwan,"November 15, 2019",2003,TV-14,"International TV Shows, Romantic TV Shows","Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love.",False
141,Atelier,Japan,"December 1, 2015",2015,TV-PG,"International TV Shows, TV Dramas","A young ""fabric geek"" lands a job at an upscale Japanese lingerie company – and quickly discovers she'll need help to survive.",False
142,Atomic Puppet,"Canada, France","December 1, 2017",2016,TV-Y7,"Crime TV Shows, Kids' TV, TV Comedies","Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan.",False
143,Attack on Titan,Japan,"February 24, 2019",2013,TV-MA,"Anime Series, International TV Shows","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",False
144,Atypical,United States,"November 1, 2019",2019,TV-14,"TV Comedies, TV Dramas, Teen TV Shows","When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",True
145,Aunty Donna's Big Ol' House of Fun,Australia,"November 11, 2020",2020,TV-MA,TV Comedies,"Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.",False
146,Aussie Gold Hunters,Australia,"August 1, 2017",2016,TV-MA,"Docuseries, International TV Shows, Reality TV",Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.,False
147,Autumn's Concerto,Taiwan,"August 1, 2016",2009,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.",False
